[       324     317     304     306     ]
[       306     304     281     283     ]
[       283     281     246     248     ]
[       248     246     171     172     ]
[       317     325     308     304     ]
[       304     308     285     281     ]
[       281     285     250     246     ]
[       246     250     173     171     ]
[       325     328     313     308     ]
[       308     313     287     285     ]
[       285     287     252     250     ]
[       250     252     174     173     ]
[       328     332     319     313     ]
[       313     319     290     287     ]
[       287     290     257     252     ]
[       252     257     176     174     ]
[       172     171     119     117     ]
[       117     119     84      82      ]
[       82      84      61      59      ]
[       59      61      49      42      ]
[       171     173     115     119     ]
[       119     115     80      84      ]
[       84      80      57      61      ]
[       61      57      41      49      ]
[       173     174     113     115     ]
[       115     113     78      80      ]
[       80      78      52      57      ]
[       57      52      38      41      ]
[       174     176     108     113     ]
[       113     108     75      78      ]
[       78      75      46      52      ]
[       52      46      35      38      ]
[       42      49      62      60      ]
[       60      62      85      83      ]
[       83      85      120     118     ]
[       118     120     192     193     ]
[       49      41      58      62      ]
[       62      58      81      85      ]
[       85      81      116     120     ]
[       120     116     194     192     ]
[       41      38      53      58      ]
[       58      53      79      81      ]
[       81      79      114     116     ]
[       116     114     195     194     ]
[       38      35      48      53      ]
[       53      48      77      79      ]
[       79      77      110     114     ]
[       114     110     197     195     ]
[       193     192     247     249     ]
[       249     247     282     284     ]
[       284     282     305     307     ]
[       307     305     317     324     ]
[       192     194     251     247     ]
[       247     251     286     282     ]
[       282     286     309     305     ]
[       305     309     325     317     ]
[       194     195     253     251     ]
[       251     253     288     286     ]
[       286     288     314     309     ]
[       309     314     328     325     ]
[       195     197     259     253     ]
[       253     259     292     288     ]
[       288     292     321     314     ]
[       314     321     332     328     ]
[       332     338     333     319     ]
[       319     333     298     290     ]
[       290     298     262     257     ]
[       257     262     178     176     ]
[       338     354     347     333     ]
[       333     347     311     298     ]
[       298     311     266     262     ]
[       262     266     180     178     ]
[       354     358     352     347     ]
[       347     352     322     311     ]
[       311     322     272     266     ]
[       266     272     182     180     ]
[       358     359     355     352     ]
[       352     355     326     322     ]
[       322     326     274     272     ]
[       272     274     183     182     ]
[       176     178     103     108     ]
[       108     103     67      75      ]
[       75      67      27      46      ]
[       46      27      20      35      ]
[       178     180     99      103     ]
[       103     99      54      67      ]
[       67      54      18      27      ]
[       27      18      12      20      ]
[       180     182     93      99      ]
[       99      93      43      54      ]
[       54      43      13      18      ]
[       18      13      3       12      ]
[       182     183     91      93      ]
[       93      91      39      43      ]
[       43      39      10      13      ]
[       13      10      0       3       ]
[       35      20      28      48      ]
[       48      28      68      77      ]
[       77      68      104     110     ]
[       110     104     199     197     ]
[       20      12      19      28      ]
[       28      19      55      68      ]
[       68      55      100     104     ]
[       104     100     201     199     ]
[       12      3       14      19      ]
[       19      14      44      55      ]
[       55      44      94      100     ]
[       100     94      203     201     ]
[       3       0       11      14      ]
[       14      11      40      44      ]
[       44      40      92      94      ]
[       94      92      204     203     ]
[       197     199     263     259     ]
[       259     263     299     292     ]
[       292     299     334     321     ]
[       321     334     338     332     ]
[       199     201     267     263     ]
[       263     267     312     299     ]
[       299     312     348     334     ]
[       334     348     354     338     ]
