[	202	173	172	]
[	201	173	202	]
[	201	174	173	]
[	200	174	201	]
[	200	175	174	]
[	199	175	200	]
[	199	176	175	]
[	198	176	199	]
[	197	176	198	]
[	197	177	176	]
[	196	177	197	]
[	196	178	177	]
[	196	179	178	]
[	195	179	196	]
[	195	180	179	]
[	194	180	195	]
[	194	181	180	]
[	193	181	194	]
[	193	182	181	]
[	192	182	193	]
[	191	182	192	]
[	191	183	182	]
[	190	183	191	]
[	190	184	183	]
[	190	185	184	]
[	189	185	190	]
[	163	165	164	]
[	166	165	163	]
[	167	169	168	]
[	189	186	185	]
[	166	188	165	]
[	187	188	166	]
[	186	188	187	]
[	186	171	188	]
[	171	169	167	]
[	189	171	186	]
[	171	170	169	]
[	171	189	170	]
[	111	112	119	]
[	140	141	131	]
[	110	112	111	]
[	130	140	131	]
[	130	132	140	]
[	119	120	111	]
[	124	126	125	]
[	124	127	126	]
[	124	128	127	]
[	123	128	124	]
[	139	141	140	]
[	139	142	141	]
[	138	142	139	]
[	138	143	142	]
[	138	87	143	]
[	129	132	130	]
[	129	133	132	]
[	128	133	129	]
[	128	134	133	]
[	123	134	128	]
[	137	87	138	]
[	137	144	87	]
[	118	120	119	]
[	117	120	118	]
[	117	121	120	]
[	116	121	117	]
[	116	122	121	]
[	115	122	116	]
[	115	123	122	]
[	101	103	102	]
[	136	144	137	]
[	136	145	144	]
[	135	145	136	]
[	101	104	103	]
[	100	104	101	]
[	100	105	104	]
[	180	105	100	]
[	147	149	148	]
[	147	150	149	]
[	146	150	147	]
[	146	151	150	]
[	145	151	146	]
[	135	151	145	]
[	155	157	156	]
[	155	158	157	]
[	154	158	155	]
[	154	159	158	]
[	180	106	105	]
[	162	106	180	]
[	162	107	106	]
[	162	108	107	]
[	161	108	162	]
[	161	109	108	]
[	160	109	161	]
[	160	110	109	]
[	159	110	160	]
[	159	112	110	]
[	153	159	154	]
[	153	112	159	]
[	152	112	153	]
[	152	113	112	]
[	151	113	152	]
[	151	114	113	]
[	135	114	151	]
[	115	134	123	]
[	115	135	134	]
[	135	115	114	]
[	73	77	74	]
[	73	76	77	]
[	78	75	79	]
[	78	72	75	]
[	74	79	75	]
[	74	77	79	]
[	73	78	76	]
[	73	72	78	]
[	71	66	70	]
[	71	67	66	]
[	69	64	68	]
[	69	65	64	]
[	67	65	66	]
[	67	64	65	]
[	71	69	68	]
[	71	70	69	]
[	80	82	83	]
[	80	81	82	]
[	84	86	87	]
[	84	85	86	]
[	81	85	82	]
[	81	86	85	]
[	80	84	87	]
[	80	83	84	]
[	88	90	91	]
[	88	89	90	]
[	92	94	95	]
[	92	93	94	]
[	91	95	94	]
[	91	90	95	]
[	88	92	89	]
[	88	93	92	]
[	34	30	61	]
[	34	0	30	]
[	61	26	59	]
[	61	30	26	]
[	59	21	53	]
[	59	26	21	]
[	53	17	50	]
[	53	21	17	]
[	50	14	44	]
[	50	17	14	]
[	44	10	41	]
[	44	14	10	]
[	41	4	36	]
[	41	10	4	]
[	36	0	34	]
[	36	4	0	]
[	30	21	26	]
[	30	17	21	]
[	30	14	17	]
[	30	10	14	]
[	30	4	10	]
[	30	0	4	]
[	61	36	34	]
[	61	41	36	]
[	61	44	41	]
[	61	50	44	]
[	61	53	50	]
[	61	59	53	]
[	32	29	62	]
[	32	3	29	]
[	62	25	58	]
[	62	29	25	]
[	58	22	55	]
[	58	25	22	]
[	55	18	49	]
[	55	22	18	]
[	49	12	45	]
[	49	18	12	]
[	45	9	40	]
[	45	12	9	]
[	40	5	39	]
[	40	9	5	]
[	39	3	32	]
[	39	5	3	]
[	29	22	25	]
[	29	18	22	]
[	29	12	18	]
[	29	9	12	]
[	29	5	9	]
[	29	3	5	]
[	62	39	32	]
[	62	40	39	]
[	62	45	40	]
[	62	49	45	]
[	62	55	49	]
[	62	58	55	]
[	33	31	63	]
[	33	2	31	]
[	63	27	57	]
[	63	31	27	]
[	57	20	52	]
[	57	27	20	]
[	52	16	51	]
[	52	20	16	]
[	51	13	47	]
[	51	16	13	]
[	47	11	42	]
[	47	13	11	]
[	42	7	37	]
[	42	11	7	]
[	37	2	33	]
[	37	7	2	]
[	31	20	27	]
[	31	16	20	]
[	31	13	16	]
[	31	11	13	]
[	31	7	11	]
[	31	2	7	]
[	63	37	33	]
[	63	42	37	]
[	63	47	42	]
[	63	51	47	]
[	63	52	51	]
[	63	57	52	]
[	35	28	60	]
[	35	1	28	]
[	60	24	56	]
[	60	28	24	]
[	56	23	54	]
[	56	24	23	]
[	54	19	48	]
[	54	23	19	]
[	48	15	46	]
[	48	19	15	]
[	46	8	43	]
[	46	15	8	]
[	43	6	38	]
[	43	8	6	]
[	38	1	35	]
[	38	6	1	]
[	28	23	24	]
[	28	19	23	]
[	28	15	19	]
[	28	8	15	]
[	28	6	8	]
[	28	1	6	]
[	60	38	35	]
[	60	43	38	]
[	60	46	43	]
[	60	48	46	]
[	60	54	48	]
[	60	56	54	]
[	96	97	98	]
[	96	99	97	]
